metadata,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,,,,,,,,,,,,,,,,,,
1,,,2023-10-31T22:27:14Z,,-33.74149597,151.130478,-33.74080396,151.131239,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
1,-33.74080396,151.13114,144.282166,2023-10-30T22:34:53Z,,,34,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-30T22:34:53Z
2,-33.74081796,151.131037,149.337051,2023-10-30T22:45:04Z,,,35,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-30T22:45:04Z
3,-33.74084797,151.130986,142.5215,2023-10-30T22:48:29Z,,,36,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-30T22:48:29Z
4,-33.74091603,151.130919,140.102325,2023-10-30T22:58:51Z,,,37,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-30T22:58:51Z
5,-33.74091804,151.130841,143.396423,2023-10-30T23:05:41Z,,,38,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-30T23:05:41Z
6,-33.74092097,151.130629,149.316711,2023-10-30T23:10:01Z,,,39,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-30T23:10:01Z
7,-33.74093003,151.131224,138.233337,2023-10-30T23:27:56Z,,,40,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-30T23:27:56Z
8,-33.74094101,151.131103,134.138138,2023-10-30T23:34:51Z,,,41,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-30T23:34:51Z
9,-33.74094201,151.131018,138.72319,2023-10-30T23:43:06Z,,,42,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-30T23:43:06Z
10,-33.74102198,151.130927,136.125336,2023-10-30T23:53:53Z,,,43,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-30T23:53:53Z
11,-33.74104603,151.130833,142.186569,2023-10-31T00:00:18Z,,,44,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T00:00:18Z
12,-33.74116899,151.130668,144.441772,2023-10-31T00:07:04Z,,,45,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T00:07:04Z
13,-33.74109599,151.131239,133.598358,2023-10-31T00:14:35Z,,,46,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T00:14:35Z
14,-33.74113396,151.131128,132.805023,2023-10-31T00:28:33Z,,,47,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T00:28:33Z
15,-33.74116799,151.131082,127.586617,2023-10-31T00:38:48Z,,,48,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T00:38:48Z
16,-33.741185,151.130952,138.554703,2023-10-31T00:43:16Z,,,49,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T00:43:16Z
17,-33.74124996,151.130813,137.806274,2023-10-31T00:51:10Z,,,50,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T00:51:10Z
18,-33.74125801,151.130743,145.000381,2023-10-31T00:56:47Z,,,51,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T00:56:47Z
19,-33.74129103,151.130973,163.940567,2023-10-31T03:06:07Z,,,52,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T03:06:07Z
20,-33.74136002,151.130883,137.857574,2023-10-31T03:10:13Z,,,53,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T03:10:13Z
21,-33.741371,151.130765,135.575043,2023-10-31T03:24:35Z,,,54,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T03:24:35Z
22,-33.74143001,151.13064,132.518433,2023-10-31T03:24:52Z,,,55,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T03:24:52Z
23,-33.74146303,151.13057,130.320038,2023-10-31T03:33:33Z,,,56,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T03:33:33Z
24,-33.74149597,151.130478,126.676025,2023-10-31T03:36:59Z,,,57,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-31T03:36:59Z
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
